,Opinion?,Paywall?,<annotation about=“,”<label name=_include_”></Label></Annotation>,Notes,timestamp,score,Label,name,AdditionalData,attribute,value
*.abc.net.au/*,Y*,N,,,,,,,,,,
*.abcnews.go.com/*,N,N,,,,0x00061a149afa1693,1.0,,_include_,,original_url,abcnews.go.com
*.afp.com/*,N,Y,,,,0x00061a14b25769e1,1.0,,_include_,,original_url,AFP.com
*.aljazeera.com/*,Y / Y,N,,,,0x00061a14c4af03f4,1.0,,_include_,,original_url,Aljazeera.com
*.americanpressinstitute.org/*,N,N,,,,,,,,,,
*.amnesty.org/*,Y*?,N,,,,0x00061a14c4c64a8e,1.0,,_include_,,original_url,Amnesty.org
*.apnews.com/*,N,N,,,,0x00061a149afa16db,1.0,,_include_,,original_url,APnews.com
*.arte.tv/en/*,N,N,,,,,,,,,,
*.arstechnica.com/*,N,N,,,,0x00061a14c4f5ab72,1.0,,_include_,,original_url,arstechnica.com
*.atlasobscura.com/articles*,Y / Y,N,,,,0x00061a14dd96bff9,1.0,,_include_,,original_url,https://*.atlasobscura.com/
*.avclub.com/*,Y*,Y,,,,0x00061a14ddc1290b,1.0,,_include_,,original_url,avclub.com
*.axios.com/*,Y*,N,,,,0x00061a149afa171b,1.0,,_include_,,original_url,Axios.com
*.bbc.com/*,N,N,,,,0x00061a149afa1b12,1.0,,_include_,,original_url,bbc.com
*.behindthevoiceactors.com/*,Y / Y,N,,,,0x00061a14dde818f2,1.0,,_include_,,original_url,https://*.behindthevoiceactors.com
*.bellingcat.com/*,N,N,,,,0x00061a14ddfd8399,1.0,,_include_,,original_url,bellingcat.com
*.bloomberg.com/*,Y,Y,,,,0x00061a149afa175c,1.0,,_include_,,original_url,Bloomberg.com
*.burkespeerage.com/*,N,Y,,,,0x00061a14de142128,1.0,,_include_,,original_url,burkespeerage.com
*.buzzfeednews.com/*,Y*,N,,,Can only filter by author,0x00061a14de2b8e0c,1.0,,_include_,,original_url,buzzfeednews.com
*.calmatters.org/*,Y / Y,N,,,,,,,,,,
*.cbc.ca/*,N,N,,,,,,,,,,
*.cbsnews.com/*,N,N,,,,0x00061a149afa17c3,1.0,,_include_,,original_url,CBSnews.com
*.channel4.com/*,N,N,,,,,,,,,,
*.cjr.org/*,Y / Y,N,,,,,,,,,,
*.climatefeedback.org/*,N,N,,,,0x00061a14de3f1bfb,1.0,,_include_,,original_url,climatefeedback.org
*.cnn.com/*,Y / Y,N,,,,0x00061a149afa1803,1.0,,_include_,,original_url,CNN.com
*.codastory.com/*,N,N,,,,0x00061a14de5294c4,1.0,,_include_,,original_url,codastory.com
*.commonsensemedia.org/*,N,N,,,,0x00061a14de68ebe5,1.0,,_include_,,original_url,https://*.commonsensemedia.org
*.csmonitor.com/*,Y,Y,,,,0x00061a149afa1b51,1.0,,_include_,,original_url,Csmonitor.com
*.current.org/*,Y*,N?,,,,,,,,,,
*.deadline.com/*,Y*,N,,,,0x00061a14deaa1366,1.0,,_include_,,original_url,deadline.com
